['106 ', 'Santa María de los Ángeles  ', 'Horarios Especiales ', ' ', '22 - 28 diciembre ', ' ', '09:00 - 21:00 (lunes, martes, viernes, sábado y domingo) ', ' ', '12 ', '1 ', '2014-12-08 14:23:22 ', '2014-12-08 14:23:33 '],
['107 ', 'Santa María de los Ángeles  ', 'Horarios Especiales ', ' ', '29 diciembre - 4 enero ', ' ', '09:00 - 21:00 (lunes, martes, viernes, sábado y domingo) ', ' ', '11 ', '1 ', '2014-12-08 14:24:27 ', '2014-12-08 14:24:27 '],
['108 ', 'Santa María de los Ángeles  ', 'Horarios Especiales ', ' ', '5 - 11 enero ', ' ', '24 horas (jueves a domingo) ', ' ', '9 ', '1 ', '2014-12-08 14:25:39 ', '2014-12-08 14:32:32 '],
['109 ', 'Santa María de los Ángeles  ', 'Horarios Especiales ', ' ', '12 Enero - 1 Febrero ', ' ', '24 horas (lunes a domingo) ', ' ', '8 ', '1 ', '2014-12-08 14:27:55 ', '2014-12-08 14:28:37 '],
['110 ', 'Hospital General de la Santísima Trinidad  ', 'Urgencias ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 14:44:05 ', '2014-12-08 14:44:05 '],
['111 ', 'Hospital Universitario de Salamanca  ', 'Urgencias ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 14:50:31 ', '2014-12-08 14:50:31 '],
['112 ', 'Hospital Virgen de la Vega  ', 'Urgencias ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 14:56:48 ', '2014-12-08 14:56:48 '],
['113 ', 'Policía Local de Salamanca  ', 'Trámites y gestiones ', ' ', 'Online 24 horas. ', ' ', 'Consultar sitio web ', ' ', '0 ', '1 ', '2014-12-08 15:11:37 ', '2014-12-08 15:11:37 '],
['114 ', 'Correos  ', 'De Lunes a Viernes ', ' ', '08:30 a 20:30 ', ' ', ' ', ' ', '5 ', '1 ', '2014-12-08 15:23:15 ', '2014-12-08 15:23:20 '],
['115 ', 'Correos  ', 'Sábados ', ' ', '09:30 a 13:00 ', ' ', ' ', ' ', '3 ', '1 ', '2014-12-08 15:23:47 ', '2014-12-08 15:23:47 '],
['116 ', 'Subdelegación del Gobierno  ', 'De Lunes a Jueves ', ' ', '09:00 a 17:00 ', ' ', ' ', ' ', '3 ', '1 ', '2014-12-08 15:40:35 ', '2014-12-08 15:40:35 '],
['117 ', 'Subdelegación del Gobierno  ', 'Viernes ', ' ', '09:00 a 14:30 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 15:41:10 ', '2014-12-08 15:41:10 '],
['118 ', 'Mercado Central de Salamanca  ', 'De Lunes a Sábado  ', ' ', '08:00 a 14:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 15:48:10 ', '2014-12-08 15:48:10 '],
['119 ', 'Santander  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:04:57 ', '2014-12-08 16:04:57 '],
['120 ', 'Caja Duero  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:12:46 ', '2014-12-08 16:12:46 '],
['121 ', 'Banco Popular  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:13:04 ', '2014-12-08 16:13:04 '],
['122 ', 'BBVA Bancomer  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:17:01 ', '2014-12-08 16:17:01 '],
['123 ', 'Caixabank  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:20:18 ', '2014-12-08 16:20:18 '],
['124 ', 'Caja Rural Salamanca  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:23:29 ', '2014-12-08 16:23:29 '],
['125 ', 'Banco Sabadell  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:26:46 ', '2014-12-08 16:26:46 '],
['126 ', 'Bankia  ', 'Cajero ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-08 16:41:15 ', '2014-12-08 16:41:15 '],
['127 ', 'Fotocopias Reflex  ', 'De Lunes a Viernes ', ' ', '09:30 a 14:00 ', ' ', '16:30 a 20:00 ', ' ', '3 ', '1 ', '2014-12-08 16:59:46 ', '2014-12-08 16:59:46 '],
['128 ', 'Fotocopias Reflex  ', 'Sábado ', ' ', '09:00 a 14:00 ', ' ', ' ', ' ', '1 ', '1 ', '2014-12-08 17:00:01 ', '2014-12-08 17:00:05 '],
['129 ', 'La Chupitería  ', 'De Martes a Domingo ', ' ', '22:00 a 3:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-10 22:21:04 ', '2014-12-10 22:21:04 '],
['130 ', 'Teatro Liceo  ', 'De Lunes a Viernes ', ' ', 'Consultar eventos. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-11 07:21:54 ', '2014-12-11 07:21:54 '],
['131 ', 'CAEM  ', 'De Lunes a Viernes ', ' ', 'Consultar eventos. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-11 07:31:51 ', '2014-12-11 07:31:51 '],
['132 ', 'Palacio de Congresos y Exposiciones de CyL  ', 'De Lunes a Viernes ', ' ', 'Consultar eventos. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-11 07:47:32 ', '2014-12-11 07:47:32 '],
['133 ', 'Centro Cultural Hispano Japonés  ', 'De Lunes a Viernes ', ' ', '10:00 a 21:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-11 07:56:32 ', '2014-12-11 07:56:32 '],
['134 ', 'Sala B del CAEM  ', 'De Lunes a Viernes ', ' ', 'Consultar eventos. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-11 08:09:04 ', '2014-12-11 08:09:04 '],
['135 ', 'Auditorio de San Blas  ', 'De Lunes a Viernes ', ' ', 'Consultar eventos. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-11 08:33:51 ', '2014-12-11 08:33:51 '],
['136 ', 'Leonardo Fast Food  ', 'De Lunes a Domingo ', ' ', '13:00 a 16:00 ', ' ', '20:00 a 00:30 ', ' ', '0 ', '1 ', '2014-12-15 16:12:39 ', '2014-12-15 16:12:39 '],
['137 ', 'La Espannola  ', 'Jueves a Sábado ', ' ', '20:00 a 05:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-30 07:43:05 ', '2014-12-30 07:43:05 '],
['138 ', 'Salamanca Suites Studios  ', 'Recepción ', ' ', '24 horas. ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-30 08:47:14 ', '2014-12-30 08:47:14 '],
